OTU,active
Otu00004,always
Otu00006,always
Otu00007,always
Otu00008,always
Otu00014,always
Otu00017,always
Otu00020,always
Otu00024,always
Otu00029,always
Otu00034,always
Otu00038,always
Otu00047,always
Otu00056,always
Otu00062,always
Otu00067,always
Otu00073,always
Otu00219,always
Otu00092,blips
Otu00127,blips
Otu00138,blips
Otu00190,blips
Otu00221,blips
Otu00222,blips
Otu00264,blips
Otu00288,blips
Otu00297,blips
Otu00298,blips
Otu00304,blips
Otu00329,blips
Otu00355,blips
Otu00370,blips
Otu00377,blips
Otu00380,blips
Otu00398,blips
Otu00445,blips
Otu00450,blips
Otu00455,blips
Otu00468,blips
Otu00472,blips
Otu00477,blips
Otu00479,blips
Otu00489,blips
Otu00492,blips
Otu00495,blips
Otu00502,blips
Otu00504,blips
Otu00512,blips
Otu00513,blips
Otu00518,blips
Otu00524,blips
Otu00526,blips
Otu00538,blips
Otu00543,blips
Otu00546,blips
Otu00552,blips
Otu00559,blips
Otu00584,blips
Otu00588,blips
Otu00592,blips
Otu00594,blips
Otu00604,blips
Otu00605,blips
Otu00613,blips
Otu00620,blips
Otu00627,blips
Otu00636,blips
Otu00641,blips
Otu00643,blips
Otu00658,blips
Otu00662,blips
Otu00676,blips
Otu00682,blips
Otu00687,blips
Otu00690,blips
Otu00695,blips
Otu00697,blips
Otu00717,blips
Otu00720,blips
Otu00722,blips
Otu00725,blips
Otu00728,blips
Otu00735,blips
Otu00736,blips
Otu00740,blips
Otu00743,blips
Otu00746,blips
Otu00749,blips
Otu00752,blips
Otu00760,blips
Otu00764,blips
Otu00768,blips
Otu00780,blips
Otu00781,blips
Otu00782,blips
Otu00786,blips
Otu00791,blips
Otu00795,blips
Otu00796,blips
Otu00800,blips
Otu00801,blips
Otu00803,blips
Otu00807,blips
Otu00810,blips
Otu00811,blips
Otu00812,blips
Otu00816,blips
Otu00822,blips
Otu00831,blips
Otu00833,blips
Otu00838,blips
Otu00839,blips
Otu00846,blips
Otu00850,blips
Otu00851,blips
Otu00852,blips
Otu00864,blips
Otu00869,blips
Otu00870,blips
Otu00877,blips
Otu00881,blips
Otu00888,blips
Otu00889,blips
Otu00892,blips
Otu00895,blips
Otu00896,blips
Otu00897,blips
Otu00899,blips
Otu00900,blips
Otu00901,blips
Otu00906,blips
Otu00913,blips
Otu00921,blips
Otu00923,blips
Otu00924,blips
Otu00930,blips
Otu00936,blips
Otu00937,blips
Otu00940,blips
Otu00948,blips
Otu00956,blips
Otu00959,blips
Otu00960,blips
Otu00964,blips
Otu00971,blips
Otu00972,blips
Otu00974,blips
Otu00977,blips
Otu00981,blips
Otu00985,blips
Otu00998,blips
Otu00999,blips
Otu01000,blips
Otu01003,blips
Otu01010,blips
Otu01012,blips
Otu01013,blips
Otu01014,blips
Otu01015,blips
Otu01020,blips
Otu01021,blips
Otu01023,blips
Otu01024,blips
Otu01029,blips
Otu01031,blips
Otu01032,blips
Otu01037,blips
Otu01043,blips
Otu01047,blips
Otu01048,blips
Otu01054,blips
Otu01055,blips
Otu01058,blips
Otu01059,blips
Otu01060,blips
Otu01063,blips
Otu01066,blips
Otu01068,blips
Otu01069,blips
Otu01070,blips
Otu01071,blips
Otu01075,blips
Otu01076,blips
Otu01079,blips
Otu01080,blips
Otu01087,blips
Otu01088,blips
Otu01089,blips
Otu01098,blips
Otu01099,blips
Otu01100,blips
Otu01105,blips
Otu01110,blips
Otu01116,blips
Otu01117,blips
Otu01124,blips
Otu01125,blips
Otu01129,blips
Otu01134,blips
Otu01135,blips
Otu01138,blips
Otu01139,blips
Otu01141,blips
Otu01146,blips
Otu01150,blips
Otu01151,blips
Otu01152,blips
Otu01153,blips
Otu01158,blips
Otu01159,blips
Otu01160,blips
Otu01161,blips
Otu01162,blips
Otu01164,blips
Otu01165,blips
Otu01167,blips
Otu01168,blips
Otu01170,blips
Otu01171,blips
Otu01177,blips
Otu01179,blips
Otu01180,blips
Otu01181,blips
Otu01182,blips
Otu01183,blips
Otu01186,blips
Otu01188,blips
Otu01189,blips
Otu01191,blips
Otu01192,blips
Otu01193,blips
Otu01195,blips
Otu01196,blips
Otu01197,blips
Otu01198,blips
Otu01199,blips
Otu01202,blips
Otu01204,blips
Otu01206,blips
Otu01207,blips
Otu01209,blips
Otu01215,blips
Otu01217,blips
Otu01219,blips
Otu01221,blips
Otu01223,blips
Otu01224,blips
Otu01225,blips
Otu01227,blips
Otu01229,blips
Otu01230,blips
Otu01231,blips
Otu01232,blips
Otu01234,blips
Otu01236,blips
Otu01237,blips
Otu01239,blips
Otu01241,blips
Otu01242,blips
Otu01247,blips
Otu01249,blips
Otu01250,blips
Otu01255,blips
Otu01256,blips
Otu01258,blips
Otu01259,blips
Otu01262,blips
Otu01264,blips
Otu01266,blips
Otu01267,blips
Otu01271,blips
Otu01272,blips
Otu01273,blips
Otu01277,blips
Otu01278,blips
