OTU,active
Otu00126,transient
Otu00169,transient
Otu00174,transient
Otu00175,transient
Otu00186,transient
Otu00193,transient
Otu00239,transient
Otu00243,transient
Otu00247,transient
Otu00256,transient
Otu00262,transient
Otu00268,transient
Otu00275,transient
Otu00278,transient
Otu00287,transient
Otu00301,transient
Otu00318,transient
Otu00319,transient
Otu00332,transient
Otu00335,transient
Otu00350,transient
Otu00352,transient
Otu00354,transient
Otu00356,transient
Otu00359,transient
Otu00360,transient
Otu00361,transient
Otu00364,transient
Otu00375,transient
Otu00376,transient
Otu00378,transient
Otu00382,transient
Otu00385,transient
Otu00386,transient
Otu00391,transient
Otu00392,transient
Otu00394,transient
Otu00396,transient
Otu00399,transient
Otu00401,transient
Otu00403,transient
Otu00407,transient
Otu00409,transient
Otu00416,transient
Otu00423,transient
Otu00426,transient
Otu00430,transient
Otu00431,transient
Otu00435,transient
Otu00439,transient
Otu00443,transient
Otu00446,transient
Otu00452,transient
Otu00453,transient
Otu00456,transient
Otu00457,transient
Otu00460,transient
Otu00466,transient
Otu00467,transient
Otu00469,transient
Otu00475,transient
Otu00478,transient
Otu00484,transient
Otu00486,transient
Otu00497,transient
Otu00498,transient
Otu00500,transient
Otu00501,transient
Otu00509,transient
Otu00510,transient
Otu00519,transient
Otu00523,transient
Otu00527,transient
Otu00529,transient
Otu00530,transient
Otu00531,transient
Otu00535,transient
Otu00537,transient
Otu00539,transient
Otu00541,transient
Otu00550,transient
Otu00554,transient
Otu00555,transient
Otu00556,transient
Otu00560,transient
Otu00562,transient
Otu00563,transient
Otu00565,transient
Otu00566,transient
Otu00568,transient
Otu00573,transient
Otu00577,transient
Otu00578,transient
Otu00579,transient
Otu00580,transient
Otu00586,transient
Otu00587,transient
Otu00589,transient
Otu00590,transient
Otu00591,transient
Otu00593,transient
Otu00596,transient
Otu00597,transient
Otu00599,transient
Otu00600,transient
Otu00602,transient
Otu00606,transient
Otu00607,transient
Otu00609,transient
Otu00611,transient
Otu00614,transient
Otu00616,transient
Otu00618,transient
Otu00622,transient
Otu00623,transient
Otu00626,transient
Otu00630,transient
Otu00631,transient
Otu00634,transient
Otu00638,transient
Otu00640,transient
Otu00642,transient
Otu00647,transient
Otu00651,transient
Otu00654,transient
Otu00667,transient
Otu00674,transient
Otu00677,transient
Otu00679,transient
Otu00680,transient
Otu00681,transient
Otu00683,transient
Otu00684,transient
Otu00686,transient
Otu00688,transient
Otu00696,transient
Otu00700,transient
Otu00704,transient
Otu00707,transient
Otu00713,transient
Otu00721,transient
Otu00731,transient
Otu00732,transient
Otu00738,transient
Otu00739,transient
Otu00742,transient
Otu00745,transient
Otu00751,transient
Otu00753,transient
Otu00759,transient
Otu00762,transient
Otu00763,transient
Otu00765,transient
Otu00767,transient
Otu00769,transient
Otu00770,transient
Otu00773,transient
Otu00785,transient
Otu00787,transient
Otu00790,transient
Otu00794,transient
Otu00799,transient
Otu00802,transient
Otu00804,transient
Otu00806,transient
Otu00808,transient
Otu00813,transient
Otu00815,transient
Otu00818,transient
Otu00819,transient
Otu00820,transient
Otu00821,transient
Otu00837,transient
Otu00847,transient
Otu00849,transient
Otu00855,transient
Otu00856,transient
Otu00859,transient
Otu00862,transient
Otu00868,transient
Otu00872,transient
Otu00873,transient
Otu00876,transient
Otu00879,transient
Otu00882,transient
Otu00884,transient
Otu00886,transient
Otu00890,transient
Otu00893,transient
Otu00902,transient
Otu00907,transient
Otu00908,transient
Otu00914,transient
Otu00920,transient
Otu00922,transient
Otu00929,transient
Otu00932,transient
Otu00933,transient
Otu00935,transient
Otu00938,transient
Otu00939,transient
Otu00941,transient
Otu00943,transient
Otu00947,transient
Otu00949,transient
Otu00970,transient
Otu00973,transient
Otu00984,transient
Otu00989,transient
Otu00991,transient
Otu00993,transient
Otu00995,transient
Otu00997,transient
Otu01022,transient
Otu01025,transient
Otu01026,transient
Otu01034,transient
Otu01038,transient
Otu01041,transient
Otu01045,transient
Otu01046,transient
Otu01056,transient
Otu01061,transient
Otu01065,transient
Otu01067,transient
Otu01073,transient
Otu01082,transient
Otu01084,transient
Otu01090,transient
Otu01096,transient
Otu01102,transient
Otu01107,transient
Otu01113,transient
