OTU,active
Otu00144,transient
Otu00145,transient
Otu00156,transient
Otu00168,transient
Otu00174,transient
Otu00189,transient
Otu00190,transient
Otu00193,transient
Otu00197,transient
Otu00225,transient
Otu00229,transient
Otu00247,transient
Otu00258,transient
Otu00260,transient
Otu00263,transient
Otu00268,transient
Otu00273,transient
Otu00275,transient
Otu00281,transient
Otu00287,transient
Otu00291,transient
Otu00299,transient
Otu00302,transient
Otu00303,transient
Otu00315,transient
Otu00328,transient
Otu00330,transient
Otu00331,transient
Otu00332,transient
Otu00335,transient
Otu00336,transient
Otu00337,transient
Otu00338,transient
Otu00339,transient
Otu00352,transient
Otu00353,transient
Otu00354,transient
Otu00355,transient
Otu00358,transient
Otu00359,transient
Otu00360,transient
Otu00361,transient
Otu00364,transient
Otu00371,transient
Otu00375,transient
Otu00376,transient
Otu00377,transient
Otu00384,transient
Otu00385,transient
Otu00386,transient
Otu00389,transient
Otu00395,transient
Otu00399,transient
Otu00401,transient
Otu00402,transient
Otu00404,transient
Otu00405,transient
Otu00406,transient
Otu00408,transient
Otu00409,transient
Otu00410,transient
Otu00416,transient
Otu00418,transient
Otu00422,transient
Otu00424,transient
Otu00429,transient
Otu00430,transient
Otu00431,transient
Otu00432,transient
Otu00434,transient
Otu00435,transient
Otu00439,transient
Otu00441,transient
Otu00443,transient
Otu00444,transient
Otu00445,transient
Otu00446,transient
Otu00451,transient
Otu00452,transient
Otu00453,transient
Otu00456,transient
Otu00463,transient
Otu00465,transient
Otu00466,transient
Otu00467,transient
Otu00468,transient
Otu00469,transient
Otu00471,transient
Otu00475,transient
Otu00476,transient
Otu00478,transient
Otu00479,transient
Otu00481,transient
Otu00482,transient
Otu00484,transient
Otu00485,transient
Otu00486,transient
Otu00490,transient
Otu00492,transient
Otu00497,transient
Otu00498,transient
Otu00499,transient
Otu00500,transient
Otu00510,transient
Otu00511,transient
Otu00512,transient
Otu00518,transient
Otu00519,transient
Otu00523,transient
Otu00526,transient
Otu00527,transient
Otu00528,transient
Otu00530,transient
Otu00531,transient
Otu00535,transient
Otu00539,transient
Otu00548,transient
Otu00550,transient
Otu00552,transient
Otu00554,transient
Otu00556,transient
Otu00560,transient
Otu00562,transient
Otu00563,transient
Otu00564,transient
Otu00565,transient
Otu00566,transient
Otu00568,transient
Otu00570,transient
Otu00571,transient
Otu00573,transient
Otu00574,transient
Otu00577,transient
Otu00580,transient
Otu00582,transient
Otu00584,transient
Otu00587,transient
Otu00590,transient
Otu00591,transient
Otu00593,transient
Otu00596,transient
Otu00599,transient
Otu00600,transient
Otu00604,transient
Otu00606,transient
Otu00607,transient
Otu00608,transient
Otu00612,transient
Otu00614,transient
Otu00615,transient
Otu00618,transient
Otu00622,transient
Otu00626,transient
Otu00627,transient
Otu00630,transient
Otu00631,transient
Otu00634,transient
Otu00636,transient
Otu00639,transient
Otu00640,transient
Otu00642,transient
Otu00644,transient
Otu00654,transient
Otu00656,transient
Otu00658,transient
Otu00663,transient
Otu00667,transient
Otu00670,transient
Otu00674,transient
Otu00681,transient
Otu00684,transient
Otu00687,transient
Otu00688,transient
Otu00696,transient
Otu00697,transient
Otu00700,transient
Otu00707,transient
Otu00708,transient
Otu00712,transient
Otu00713,transient
Otu00724,transient
Otu00732,transient
Otu00739,transient
Otu00742,transient
Otu00745,transient
Otu00746,transient
Otu00749,transient
Otu00751,transient
Otu00753,transient
Otu00758,transient
Otu00759,transient
Otu00765,transient
Otu00767,transient
Otu00770,transient
Otu00773,transient
Otu00778,transient
Otu00784,transient
Otu00785,transient
Otu00790,transient
Otu00794,transient
Otu00799,transient
Otu00800,transient
Otu00802,transient
Otu00806,transient
Otu00807,transient
Otu00811,transient
Otu00815,transient
Otu00817,transient
Otu00818,transient
Otu00821,transient
Otu00826,transient
Otu00831,transient
Otu00836,transient
Otu00846,transient
Otu00847,transient
Otu00849,transient
Otu00855,transient
Otu00856,transient
Otu00859,transient
Otu00864,transient
Otu00868,transient
Otu00869,transient
Otu00873,transient
Otu00876,transient
