sample.ID,lat,long,dist.dam,time,temp,Spc,DO,pH,TP,bac.res,com.res,color,chla,DOC
UL01,39.18928056,-86.50123611,0,9:50 AM,27.01,0.446,7.8,8.61,22.6,2.8,2.92,0.0649,12.65,4.210
UL02,39.18927222,-86.50146389,25,10:03 AM,27.03,0.446,8.46,8.67,19.27,2.77,2.07,0.1367,11.76,5.857
UL03,39.18915833,-86.50169167,50,10:08 AM,27.04,0.446,8.49,8.64,33.74,2.42,2.24,0.0885,13.36,5.038
UL04,39.18907222,-86.50198056,75,10:12 AM,27.27,0.445,8.31,8.68,18.54,2.81,2.44,0.0636,11.7,32.47
UL05,39.18898611,-86.50239444,100,10:15 AM,27.24,0.445,8.43,8.7,20.67,2.63,3.01,0.1658,12.44,3.492
UL06,39.18892778,-86.50252778,125,10:19 AM,27.31,0.446,8.23,8.71,124.54,2.46,2.46,0.0477,15.46,3.772
UL07,39.18881111,-86.50278611,150,10:22 AM,27.34,0.446,7.9,8.68,22.07,2.36,2.64,0.0494,17.4,3.507
UL08,39.18871667,-86.503075,175,10:27 AM,27.63,0.444,7.87,8.69,96.74,2.49,2.32,0.1097,14.07,3.651
UL09,39.18862222,-86.50328611,200,10:30 AM,27.38,0.445,7.84,8.7,39.2,1.88,2.27,0.0623,13.58,3.664
UL10,39.18853611,-86.50356667,225,10:34 AM,27.27,0.446,7.96,8.7,21.8,2.08,1.84,0.1583,12.07,3.973
UL11,39.18846389,-86.50384167,250,10:37 AM,27.24,0.448,7.45,8.65,54.27,1.84,2.77,0.092,12.66,3.389
UL12,39.18824444,-86.50409444,275,10:41 AM,27.37,0.449,6.67,8.62,53.14,1.88,2.05,0.161,8.63,3.294
UL13,39.18808333,-86.50419722,300,10:45 AM,27.28,0.448,7.59,8.64,27.8,2.28,2.23,0.136,11.26,3.642
UL14,39.18785278,-86.50429167,325,10:49 AM,27.31,0.45,7.16,8.57,61.67,2.21,2.5,0.0658,24.01,3.491
UL15,39.18765833,-86.50454722,350,10:53 AM,27.08,0.451,6.64,8.48,80.8,1.48,1.45,0.166,20.64,3.573
UL16,NA,NA,375,11:13 AM,NA,NA,NA,NA,16.2,1.34,2.08,0.0225,0,1.958
UL17,39.18836667,-86.50428333,300,11:24 AM,27.37,0.451,6.37,8.49,22.54,1.63,2.06,0.0535,13.09,3.082
UL18,39.18845833,-86.50448333,325,11:27 AM,27.32,0.451,6.79,8.47,57.87,1.23,1.95,0.1879,17.74,3.066
