sample	station	molecule	type	distance
RGSoil01	soil01	DNA	soil	NA
RGSoil02	soil02	DNA	soil	NA
RGSoil03	soil03	DNA	soil	NA
RGD01	UL01	DNA	water	0
RGc01	UL01	RNA	water	0
RGD02	UL02	DNA	water	25
RGc02	UL02	RNA	water	25
RGD03	UL03	DNA	water	50
RGc03	UL03	RNA	water	50
RGD04	UL04	DNA	water	75
RGc04	UL04	RNA	water	75
RGD05	UL05	DNA	water	100
RGc05	UL05	RNA	water	100
RGD06	UL06	DNA	water	125
RGc06	UL06	RNA	water	125
RGD07	UL07	DNA	water	150
RGc07	UL07	RNA	water	150
RGD08	UL08	DNA	water	175
RGc08	UL08	RNA	water	175
RGD09	UL09	DNA	water	200
RGc09	UL09	RNA	water	200
RGD10	UL10	DNA	water	225
RGc10	UL10	RNA	water	225
RGD11	UL11	DNA	water	250
RGc11	UL11	RNA	water	250
RGD12	UL12	DNA	water	275
RGc12	UL12	RNA	water	275
RGD13	UL13	DNA	water	300
RGc13	UL13	RNA	water	300
RGD14	UL14	DNA	water	325
RGc14	UL14	RNA	water	325
RGD15	UL15	DNA	water	350
RGc15	UL15	RNA	water	350
RGD16	UL16	DNA	water	375
RGc16	UL16	RNA	water	375
RGD17	UL17	DNA	water	300
RGc17	UL17	RNA	water	300
RGD18	UL18	DNA	water	325
RGc18	UL18	RNA	water	325
